id_country,id_compound,toilet_fullclogged,privacy_wall,floor_holes,roof_solid,use_night,nightlight_rep,gender_separated,relationship,hh_cubicle_num,hh_cubicle,cleaning_arrangement,sharing,interface_rep,outflow_rep,D0,age_toilet,clean_comp,handwashing_obs,location,landlord_on_plot,bin_inside,tiling,visible_feces,insects_obs,solidwaste_obs,floor_obs,spotcheck,gender_respondent,gender_hh,hh_size,hhmember_rooms,B11_income_ppp,educ_hh,tenancy,electricity,water,lock,hh_cubicle_fct,cleanliness_rep,cleanliness_obs,cleanliness_cod
Bangladesh,1655,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,11,more than 10,No,Shared,Pour-flush,Don't know,Pour flush to don't know where,7-9 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,5,5,601.0680980101641,None,Tenant (informal),Yes,Improved on premises,Outside and inside,more than 10,Very clean,Neither clean nor dirty,Very clean
Bangladesh,1656,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,5,5,No,Shared,Pour-flush,Don't know,Pour flush to don't know where,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,No,Yes,Finished,Yes,Female,Female,1,1,90.16021470152462,None,Tenant (informal),Yes,Improved on premises,Outside and inside,5,Neither clean nor dirty,Very dirty,Very dirty
Bangladesh,1657,No,Solid,No,Not solid,Yes,No,No,Other tenants/unknown,7,7,No,Shared,Pour-flush,Don't know,Pour flush to don't know where,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Female,Male,5,2.5,360.6408588060985,None,Tenant (informal),Yes,Improved on premises,Outside and inside,7,Very dirty,Neither clean nor dirty,Very dirty
Bangladesh,1487,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,7,7,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,4-6 years,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,6,6,525.9345857588936,None,Tenant (informal),Yes,Improved on premises,Only inside,7,Neither clean nor dirty,Neither clean nor dirty,Clean
Bangladesh,1488,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,10,10,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Female,Female,3,3,240.42723920406564,None,Tenant (informal),Yes,Improved on premises,Outside and inside,10,Clean,Neither clean nor dirty,Very clean
Bangladesh,1489,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,Yes,No,Finished,Yes,Male,Male,4,4,751.3351225127052,None,Tenant (informal),Yes,Improved on premises,No lock,5,Clean,Neither clean nor dirty,Clean
Bangladesh,1490,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,7,7,No,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Female,5,5,901.6021470152461,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,7,Clean,Neither clean nor dirty,Clean
Bangladesh,1795,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,1-3 years,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Female,Female,5,1.6666666666666667,901.6021470152461,None,Owner,Yes,Improved on premises,Outside and inside,1,Clean,Neither clean nor dirty,Clean
Bangladesh,1796,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,4-6 years,Clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Female,8,2.6666666666666665,901.6021470152461,None,Owner,Yes,Improved on premises,Outside and inside,1,Clean,Neither clean nor dirty,Clean
Bangladesh,1797,Yes,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,1-3 years,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,Tiling,No,No,Yes,Finished,Yes,Female,Male,6,3,1051.8691715177872,Primary,Owner,Yes,Improved on premises,Outside and inside,1,Clean,Neither clean nor dirty,Clean
